cluster_0,cluster_1,cluster_2,cluster_3
Black,Orange,Blue,Small
White,Red,Spots,Paws
Brown,Yellow,Hairless,Buckteeth
Gray,Stripes,Flippers,Claws
Patches,Hands,Strainteeth,Hops
Furry,Pads,Tusks,Tunnels
Toughskin,Flys,Swims,Weak
Big,Bipedal,Fish,Nocturnal
Bulbous,Insects,Plankton,Hibernate
Lean,Scavenger,Skimmer,Forest
Hooves,Stalker,Arctic,Nestspot
Longleg,Desert,Coastal,
Longneck,Bush,Ocean,
Tail,Jungle,Water,
Chewteeth,Tree,,
Meatteeth,Cave,,
Horns,,,
Smelly,,,
Walks,,,
Fast,,,
Slow,,,
Strong,,,
Muscle,,,
Quadrapedal,,,
Active,,,
Inactive,,,
Agility,,,
Meat,,,
Vegetation,,,
Forager,,,
Grazer,,,
Hunter,,,
Newworld,,,
Oldworld,,,
Plains,,,
Fields,,,
Mountains,,,
Ground,,,
Fierce,,,
Timid,,,
Smart,,,
Group,,,
Solitary,,,
Domestic,,,
