cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
6,2,13,3,0
7,12,22,9,1
10,18,28,11,4
14,19,37,16,5
15,27,43,17,8
20,33,52,24,21
23,34,62,26,36
25,42,71,31,51
29,48,73,32,70
30,49,92,39,78
35,61,96,41,91
38,67,109,46,97
40,68,118,47,98
44,82,124,58,117
45,83,133,60,132
50,88,147,65,146
53,89,156,66,149
54,94,165,79,164
55,108,180,81,179
56,114,186,86,194
57,115,195,87,209
59,123,201,105,216
63,129,210,107,220
64,130,223,112,225
69,135,233,113,227
72,137,252,120,230
74,138,261,122,260
75,139,267,127,269
76,141,276,128,272
77,142,282,140,273
80,143,291,152,275
84,144,297,154,284
85,148,306,159,288
90,150,,160,290
93,155,,167,305
95,161,,169,
99,162,,174,
100,170,,175,
101,171,,182,
102,176,,184,
103,177,,189,
104,185,,190,
106,191,,197,
110,192,,199,
111,200,,204,
116,206,,205,
119,207,,228,
121,217,,248,
125,219,,250,
126,222,,255,
131,224,,256,
134,226,,278,
136,231,,280,
145,251,,293,
151,257,,295,
153,258,,300,
157,263,,301,
158,265,,,
163,266,,,
166,270,,,
168,271,,,
172,281,,,
173,285,,,
178,286,,,
181,287,,,
183,296,,,
187,302,,,
188,303,,,
193,,,,
196,,,,
198,,,,
202,,,,
203,,,,
208,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
218,,,,
221,,,,
229,,,,
232,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
249,,,,
253,,,,
254,,,,
259,,,,
262,,,,
264,,,,
268,,,,
274,,,,
277,,,,
279,,,,
283,,,,
289,,,,
292,,,,
294,,,,
298,,,,
299,,,,
304,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
