cluster_0,cluster_1,cluster_2,cluster_3
0,2,3,5
1,12,9,8
4,13,11,98
6,18,16,146
7,19,17,147
10,22,24,223
14,27,26,225
15,28,31,233
20,33,32,275
21,34,39,288
23,37,41,290
25,42,46,
29,43,47,
30,48,58,
35,49,60,
36,52,65,
38,61,66,
40,62,79,
44,67,81,
45,68,86,
50,71,87,
51,82,96,
53,83,105,
54,88,107,
55,89,112,
56,92,113,
57,94,120,
59,108,122,
63,109,127,
64,114,128,
69,115,140,
70,118,152,
72,123,154,
73,124,159,
74,129,160,
75,130,167,
76,133,169,
77,135,174,
78,137,175,
80,138,182,
84,139,184,
85,141,189,
90,142,190,
91,143,197,
93,144,199,
95,148,204,
97,150,205,
99,155,228,
100,156,248,
101,161,250,
102,162,255,
103,165,256,
104,170,278,
106,171,280,
110,176,293,
111,177,295,
116,180,300,
117,185,301,
119,186,,
121,191,,
125,192,,
126,195,,
131,200,,
132,201,,
134,206,,
136,207,,
145,210,,
149,217,,
151,219,,
153,222,,
157,224,,
158,226,,
163,231,,
164,251,,
166,252,,
168,257,,
172,258,,
173,261,,
178,263,,
179,265,,
181,266,,
183,267,,
187,270,,
188,271,,
193,281,,
194,282,,
196,285,,
198,286,,
202,287,,
203,291,,
208,296,,
209,297,,
211,302,,
212,303,,
213,306,,
214,,,
215,,,
216,,,
218,,,
220,,,
221,,,
227,,,
229,,,
230,,,
232,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
249,,,
253,,,
254,,,
259,,,
260,,,
262,,,
264,,,
268,,,
269,,,
272,,,
273,,,
274,,,
276,,,
277,,,
279,,,
283,,,
284,,,
289,,,
292,,,
294,,,
298,,,
299,,,
304,,,
305,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
