cluster_0,cluster_1
5_o_Clock_Shadow,Bald
Arched_Eyebrows,Chubby
Attractive,Double_Chin
Bags_Under_Eyes,Eyeglasses
Bangs,Goatee
Big_Lips,Gray_Hair
Big_Nose,Mustache
Black_Hair,Receding_Hairline
Blond_Hair,Sideburns
Blurry,Wearing_Hat
Brown_Hair,Wearing_Necktie
Bushy_Eyebrows,
Heavy_Makeup,
High_Cheekbones,
Male,
Mouth_Slightly_Open,
Narrow_Eyes,
No_Beard,
Oval_Face,
Pale_Skin,
Pointy_Nose,
Rosy_Cheeks,
Smiling,
Straight_Hair,
Wavy_Hair,
Wearing_Earrings,
Wearing_Lipstick,
Wearing_Necklace,
Young,
Noise 0,
Noise 1,
Noise 2,
Noise 3,
