Cluster 0,Cluster 1,Cluster 2,Cluster 3
0,2,13,3
1,12,22,9
4,18,28,11
5,19,37,16
6,27,43,17
7,33,52,24
8,34,62,26
10,42,71,31
14,48,73,32
15,49,92,39
20,61,96,41
21,67,109,46
23,68,118,47
25,82,124,58
29,83,133,60
30,88,147,65
35,89,156,66
36,94,165,79
38,108,180,81
40,114,186,86
44,115,195,87
45,123,201,105
50,129,210,107
51,130,223,112
53,135,233,113
54,137,252,120
55,138,261,122
56,139,267,127
57,141,276,128
59,142,282,140
63,143,291,152
64,144,297,154
69,148,306,159
70,150,,160
72,155,,167
74,161,,169
75,162,,174
76,170,,175
77,171,,182
78,176,,184
80,177,,189
84,185,,190
85,191,,197
90,192,,199
91,200,,204
93,206,,205
95,207,,228
97,217,,248
98,219,,250
99,222,,255
100,224,,256
101,226,,278
102,231,,280
103,251,,293
104,257,,295
106,258,,300
110,263,,301
111,265,,
116,266,,
117,270,,
119,271,,
121,281,,
125,285,,
126,286,,
131,287,,
132,296,,
134,302,,
136,303,,
145,,,
146,,,
149,,,
151,,,
153,,,
157,,,
158,,,
163,,,
164,,,
166,,,
168,,,
172,,,
173,,,
178,,,
179,,,
181,,,
183,,,
187,,,
188,,,
193,,,
194,,,
196,,,
198,,,
202,,,
203,,,
208,,,
209,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
218,,,
220,,,
221,,,
225,,,
227,,,
229,,,
230,,,
232,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
249,,,
253,,,
254,,,
259,,,
260,,,
262,,,
264,,,
268,,,
269,,,
272,,,
273,,,
274,,,
275,,,
277,,,
279,,,
283,,,
284,,,
288,,,
289,,,
290,,,
292,,,
294,,,
298,,,
299,,,
304,,,
305,,,
307,,,
308,,,
309,,,
310,,,
311,,,
